CPU 5 his02,User%,Sys%,Wait%,Idle%,Steal%
2025-01-20 08:00:02,0.0,1.3,0.0,98.7,0.0
2025-01-20 08:00:32,0.6,0.5,0.8,98.0,0.0
2025-01-20 08:01:02,1.2,0.6,1.5,96.7,0.0
2025-01-20 08:01:32,0.8,0.5,0.7,98.0,0.0
2025-01-20 08:02:02,0.2,0.6,0.1,99.1,0.0
2025-01-20 08:02:33,0.2,0.5,0.6,98.7,0.0
2025-01-20 08:03:03,2.8,0.5,2.5,94.2,0.0
2025-01-20 08:03:33,4.8,1.0,6.8,87.4,0.0
2025-01-20 08:04:03,0.6,0.7,1.3,97.4,0.0
2025-01-20 08:04:33,2.6,0.8,5.7,90.8,0.0
2025-01-20 08:05:03,4.3,1.1,10.8,83.8,0.0
2025-01-20 08:05:33,9.2,1.5,21.1,68.1,0.0
2025-01-20 08:06:03,3.6,0.8,6.3,89.3,0.0
2025-01-20 08:06:33,3.9,1.2,5.9,89.0,0.0
2025-01-20 08:07:03,7.0,1.0,10.2,81.8,0.0
2025-01-20 08:07:33,9.1,1.2,15.7,73.9,0.0
2025-01-20 08:08:03,6.8,0.8,10.8,81.5,0.0
2025-01-20 08:08:33,3.7,0.9,7.6,87.8,0.0
2025-01-20 08:09:03,1.3,0.7,2.8,95.3,0.0
2025-01-20 08:09:33,2.6,0.7,3.9,92.8,0.0
2025-01-20 08:10:03,0.8,0.5,0.8,98.0,0.0
2025-01-20 08:10:33,3.2,0.5,7.6,88.6,0.0
2025-01-20 08:11:03,3.6,0.7,5.9,89.9,0.0
2025-01-20 08:11:33,6.6,0.7,8.9,83.8,0.0
2025-01-20 08:12:03,8.4,0.9,10.1,80.6,0.0
2025-01-20 08:12:33,7.5,0.9,11.6,80.0,0.0
2025-01-20 08:13:03,0.9,0.3,1.0,97.9,0.0
2025-01-20 08:13:33,5.0,0.7,7.6,86.7,0.0
2025-01-20 08:14:03,3.6,0.6,7.7,88.1,0.0
2025-01-20 08:14:33,1.2,0.5,2.3,96.0,0.0
2025-01-20 08:15:03,3.7,0.4,6.4,89.5,0.0
2025-01-20 08:15:33,6.6,0.8,13.2,79.4,0.0
2025-01-20 08:16:03,2.0,0.4,3.5,94.1,0.0
2025-01-20 08:16:33,1.2,0.3,2.7,95.8,0.0
2025-01-20 08:17:03,4.0,0.5,8.3,87.2,0.0
2025-01-20 08:17:33,3.3,0.4,4.7,91.6,0.0
2025-01-20 08:18:03,2.1,0.5,5.0,92.3,0.0
2025-01-20 08:18:33,6.6,0.8,10.2,82.5,0.0
2025-01-20 08:19:03,2.0,0.6,3.5,93.9,0.0
2025-01-20 08:19:33,1.3,0.4,4.3,94.0,0.0
2025-01-20 08:20:03,3.5,0.6,7.7,88.2,0.0
2025-01-20 08:20:33,2.4,0.5,5.6,91.5,0.0
2025-01-20 08:21:03,2.7,0.5,5.7,91.1,0.0
2025-01-20 08:21:33,5.8,0.6,11.0,82.6,0.0
2025-01-20 08:22:03,3.5,0.4,5.7,90.3,0.0
2025-01-20 08:22:33,3.3,0.6,6.0,90.1,0.0
2025-01-20 08:23:03,3.5,0.5,5.5,90.5,0.0
2025-01-20 08:23:33,7.1,0.7,9.2,83.0,0.0
2025-01-20 08:24:03,3.6,0.6,6.8,89.0,0.0
2025-01-20 08:24:33,0.3,0.2,0.1,99.4,0.0
2025-01-20 08:25:03,6.6,0.7,8.9,83.8,0.0
2025-01-20 08:25:33,1.5,0.2,2.2,96.1,0.0
