Disk %Busy his02,sda,sda1,sda2,sda3,sdf,sdg,sde,sdh,sdj,sdi,sdk,sdm,sdn,sdl,sdp,sdd,sdo,sdb,sdc,sdr,sdq,sdu,sdx,sds,sdv,sdt,sdw,sdy,dm-0,dm-1,sdz,sdaa,sdab,sdac,sdad,sdae,sdaf,sdag,sdah,sdai,sdaj,sdak,sdal,sdam,sdan,sdao,sdap,sdaq,sdar,sdas,sdat,sdau,sdav,sdaw,dm-2,dm-3,dm-4,dm-5,dm-6,dm-7,sdax,sday,sdaz,sdba,dm-8,sdbb,sdbc,sdbd,sdbe,sdbf,sdbg,sdbh,sdbi,dm-9,sdbj,sdbk,sdbl,sdbm,sdbn,sdbo,sdbp,sdbq,dm-10,sdbr,sdbs,sdbt,sdbu
2025-01-20 08:00:02,0.0,0.0,0.0,0.0,0.0,4.2,0.0,4.2,0.0,4.8,0.0,4.2,3.6,0.0,0.0,4.8,4.2,0.0,5.4,5.4,0.0,0.0,0.0,4.8,0.0,5.4,6.0,0.0,0.0,0.0,4.8,0.0,0.0,0.0,3.6,3.0,4.2,0.0,0.0,5.4,4.8,0.0,0.0,3.6,3.0,0.0,4.8,4.8,5.4,0.0,0.0,6.0,0.0,0.0,0.0,14.3,13.7,0.6,0.0,17.3,4.2,4.2,4.8,5.4,14.9,5.4,4.2,3.6,4.8,4.2,4.2,5.4,5.4,14.9,3.6,3.6,4.2,5.4,4.8,6.0,6.6,4.8,20.3,4.2,4.8,6.6,6.0
2025-01-20 08:00:32,0.0,0.0,0.0,0.0,0.0,3.8,0.0,4.0,0.0,4.3,0.0,3.8,3.9,0.0,0.0,5.0,4.3,0.0,5.0,4.8,0.0,0.0,0.0,4.8,0.0,5.4,5.6,0.0,0.0,0.0,4.3,0.0,0.0,0.0,3.4,3.7,4.3,0.0,0.0,5.0,4.9,0.0,0.0,3.5,3.5,0.0,4.7,4.9,5.6,0.0,0.0,5.8,0.0,0.0,0.2,16.8,16.9,0.1,0.1,19.2,3.4,3.5,4.3,4.6,16.2,4.7,3.4,3.4,4.6,3.1,3.1,4.7,4.3,15.4,3.1,3.1,4.1,4.4,4.5,5.6,6.0,4.6,21.2,4.6,4.5,5.9,5.7
2025-01-20 08:01:02,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.7,0.0,0.9,0.0,0.9,0.8,0.0,0.0,0.9,1.0,0.0,1.1,1.2,0.0,0.0,0.0,1.0,0.0,1.4,1.2,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.9,0.7,0.9,0.0,0.0,1.1,0.9,0.0,0.0,0.8,0.7,0.0,1.0,0.9,1.2,0.0,0.0,1.2,0.0,0.0,0.1,8.6,7.2,0.1,0.2,8.9,1.0,1.0,1.2,1.3,9.5,1.2,1.0,0.9,1.2,0.7,0.8,1.0,1.0,7.6,0.7,0.7,1.0,1.0,1.0,1.3,1.4,1.0,9.6,1.0,0.9,1.2,1.2
2025-01-20 08:01:32,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.8,0.0,0.9,0.0,1.0,0.8,0.0,0.0,1.0,0.8,0.0,1.3,1.3,0.0,0.0,0.0,1.0,0.0,1.1,1.2,0.0,0.0,0.0,0.8,0.0,0.0,0.0,1.0,0.8,0.9,0.0,0.0,1.3,1.0,0.0,0.0,0.9,0.8,0.0,1.3,1.1,1.1,0.0,0.0,1.1,0.0,0.0,0.1,9.4,7.4,0.1,0.2,8.1,0.9,1.1,1.2,1.3,9.5,1.3,1.0,1.0,1.3,0.8,0.8,1.1,1.0,7.3,0.7,0.8,1.1,1.0,1.0,1.2,1.2,0.9,8.7,0.9,0.9,1.2,1.2
2025-01-20 08:02:02,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7,0.0,0.9,0.0,1.1,0.7,0.0,0.0,0.8,0.9,0.0,1.2,1.3,0.0,0.0,0.0,0.9,0.0,1.2,1.2,0.0,0.1,0.0,1.0,0.0,0.0,0.0,1.0,0.7,1.0,0.0,0.0,1.2,0.8,0.0,0.0,1.0,0.7,0.0,1.2,0.9,1.1,0.0,0.0,1.1,0.0,0.0,0.2,9.6,6.8,0.1,0.2,9.2,0.9,0.9,1.1,1.2,9.1,1.2,1.0,0.9,1.2,0.7,0.9,1.1,1.1,8.1,0.8,0.8,1.0,1.1,0.9,1.1,1.2,0.9,9.0,0.9,0.9,1.2,1.1
2025-01-20 08:02:33,0.1,0.0,0.0,0.1,0.0,0.8,0.0,0.8,0.0,1.1,0.0,0.8,0.8,0.0,0.0,0.9,1.2,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.4,1.4,0.0,0.1,0.0,1.2,0.0,0.0,0.0,0.8,0.8,1.2,0.0,0.0,1.0,1.0,0.0,0.0,0.7,0.8,0.0,1.1,0.9,1.4,0.0,0.0,1.4,0.0,0.0,0.2,7.8,7.5,0.2,0.2,10.8,0.8,0.8,0.9,1.1,7.7,0.9,0.8,0.7,1.0,1.0,1.1,1.2,1.3,9.8,1.0,1.0,1.3,1.2,0.9,1.2,1.3,0.9,8.8,0.9,0.9,1.2,1.1
2025-01-20 08:03:03,0.0,0.0,0.0,0.0,0.0,3.6,0.0,3.7,0.0,3.6,0.0,3.5,3.5,0.0,0.0,4.7,3.5,0.0,4.9,4.5,0.0,0.0,0.0,4.6,0.0,4.5,4.7,0.0,0.0,0.0,3.5,0.0,0.0,0.0,3.3,3.2,3.4,0.0,0.0,4.8,4.7,0.0,0.0,3.1,3.2,0.0,4.5,4.4,4.7,0.0,0.0,4.9,0.0,0.0,0.1,15.3,16.5,0.1,0.1,15.9,3.5,3.5,4.4,4.8,15.2,4.8,3.4,3.3,4.7,3.3,3.1,4.6,4.6,14.8,3.3,3.2,4.2,4.5,3.8,4.7,5.3,3.9,18.6,3.8,3.7,5.1,5.0
2025-01-20 08:03:33,0.0,0.0,0.0,0.0,0.0,4.7,0.0,4.9,0.0,4.7,0.0,4.4,4.7,0.0,0.0,6.2,4.5,0.0,6.1,5.8,0.0,0.0,0.0,6.1,0.0,5.7,6.1,0.0,0.0,0.0,4.6,0.0,0.0,0.0,4.1,4.2,4.5,0.0,0.0,6.3,6.3,0.0,0.0,3.9,4.2,0.0,5.7,5.9,6.0,0.0,0.0,6.2,0.0,0.0,0.2,18.2,20.0,0.1,0.1,18.7,4.6,4.6,5.8,6.2,18.4,6.3,4.6,4.4,6.2,4.4,4.1,5.9,5.9,17.3,4.1,4.2,5.4,5.9,4.9,6.1,6.7,5.0,21.7,4.8,4.9,6.5,6.5
2025-01-20 08:04:03,0.0,0.0,0.0,0.0,0.0,5.4,0.0,5.6,0.0,5.4,0.0,5.1,5.2,0.0,0.0,7.2,5.2,0.0,7.2,6.7,0.0,0.0,0.0,7.0,0.0,6.5,7.0,0.0,0.0,0.0,5.2,0.0,0.0,0.0,4.8,4.9,5.1,0.0,0.0,7.0,7.3,0.0,0.0,4.7,4.9,0.0,6.5,6.7,6.9,0.0,0.0,7.0,0.0,0.0,0.2,23.0,25.0,0.1,0.2,23.4,5.2,5.0,6.5,7.1,22.9,7.0,5.2,4.9,7.0,5.3,5.0,7.3,7.2,24.3,5.1,5.1,6.5,7.3,5.3,6.7,7.3,5.3,24.4,5.2,5.4,7.1,7.2
2025-01-20 08:04:33,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.2,0.0,4.9,0.0,4.8,4.9,0.0,0.0,6.5,4.8,0.0,6.6,6.4,0.0,0.0,0.0,6.4,0.0,6.2,6.4,0.0,0.1,0.0,4.8,0.0,0.0,0.0,4.6,4.7,4.8,0.0,0.0,6.6,6.6,0.0,0.0,4.5,4.6,0.0,6.3,6.3,6.4,0.0,0.0,6.5,0.0,0.0,0.2,20.6,22.0,0.1,0.1,19.8,5.1,4.9,6.1,6.5,20.8,6.6,4.9,4.8,6.7,4.7,4.7,6.8,6.5,22.0,4.7,4.7,6.3,6.6,5.1,6.4,6.8,5.0,21.5,5.0,4.8,6.6,6.6
