Disk Read KB/s his02,sda,sda1,sda2,sda3,sdf,sdg,sde,sdh,sdj,sdi,sdk,sdm,sdn,sdl,sdp,sdd,sdo,sdb,sdc,sdr,sdq,sdu,sdx,sds,sdv,sdt,sdw,sdy,dm-0,dm-1,sdz,sdaa,sdab,sdac,sdad,sdae,sdaf,sdag,sdah,sdai,sdaj,sdak,sdal,sdam,sdan,sdao,sdap,sdaq,sdar,sdas,sdat,sdau,sdav,sdaw,dm-2,dm-3,dm-4,dm-5,dm-6,dm-7,sdax,sday,sdaz,sdba,dm-8,sdbb,sdbc,sdbd,sdbe,sdbf,sdbg,sdbh,sdbi,dm-9,sdbj,sdbk,sdbl,sdbm,sdbn,sdbo,sdbp,sdbq,dm-10,sdbr,sdbs,sdbt,sdbu
2025-01-20 08:00:02,0.0,0.0,0.0,0.0,0.0,9663.5,0.0,10037.8,0.6,10111.7,0.0,9935.3,10253.5,0.0,0.0,9768.4,9611.1,0.0,10016.3,10324.4,0.0,0.0,0.0,9687.4,0.0,9458.5,9925.7,0.6,0.0,0.0,9892.4,0.0,0.0,0.0,9848.9,9716.6,9739.8,0.0,0.0,9935.3,9775.6,0.0,0.0,10187.3,9992.5,0.0,10261.8,9921.6,9758.9,0.0,0.0,9849.5,0.0,0.0,0.6,80478.5,78628.7,0.6,0.6,78347.5,10264.2,10074.1,9893.0,10164.1,80937.4,9787.5,9930.5,10364.3,10307.1,10736.2,10354.8,9973.4,10331.0,82594.0,10802.9,10516.9,9806.5,10072.3,11007.9,10657.5,9963.9,10235.6,83854.4,10546.1,10545.5,10323.8,10574.1
2025-01-20 08:00:32,0.0,0.0,0.0,0.0,0.1,7997.1,0.1,8174.0,0.1,8156.0,0.1,8078.6,8094.6,0.1,0.1,8137.3,8040.6,0.1,7972.2,8059.3,0.1,0.2,0.1,8064.8,0.1,8230.7,8313.2,0.1,0.0,0.0,8009.5,0.1,0.1,0.1,8104.7,8192.7,8181.4,0.1,0.1,8022.7,8034.8,0.1,0.1,7940.8,8056.0,0.1,8024.6,8215.9,8367.3,0.1,0.1,8157.1,0.1,0.1,1.0,64184.7,64970.1,1.0,1.0,65455.9,8155.9,8187.9,8116.4,8070.5,65047.5,8088.4,8112.0,8180.7,8144.2,7841.8,7914.7,8055.0,7980.2,63570.1,7981.7,7945.6,7910.3,7940.6,8221.8,8067.6,8058.2,8277.2,65268.7,8189.7,8223.7,8155.4,8075.1
2025-01-20 08:01:02,0.0,0.0,0.0,0.0,0.1,895.8,0.1,855.1,0.1,928.0,0.1,879.6,838.3,0.1,0.1,848.6,880.5,0.1,882.0,913.6,0.1,0.1,0.1,850.4,0.1,931.2,913.8,0.1,0.0,0.0,897.9,0.1,0.1,0.1,877.7,836.7,908.0,0.1,0.1,899.7,858.9,0.1,0.1,910.1,847.6,0.1,887.0,857.4,925.2,0.1,0.1,906.9,0.1,0.1,1.0,7143.6,6796.8,1.0,1.0,7291.4,938.6,965.3,923.8,938.9,7550.9,934.2,952.8,957.1,940.5,836.4,834.3,824.4,830.6,6670.5,835.1,843.9,825.5,840.5,1086.3,1076.7,1069.4,1079.9,8628.2,1083.2,1067.8,1083.2,1081.6
2025-01-20 08:01:32,0.0,0.0,0.0,0.0,0.1,1068.1,0.1,1005.4,0.1,1118.6,0.1,1077.7,1005.2,0.1,0.1,1005.0,1098.0,0.1,1061.8,1064.4,0.1,0.2,0.1,999.6,0.1,1097.7,1104.9,0.1,0.0,0.0,1101.8,0.1,0.1,0.1,1074.7,1010.7,1083.1,0.1,0.1,1101.9,1008.9,0.1,0.1,1081.2,986.8,0.1,1046.5,995.1,1092.8,0.1,0.1,1076.2,0.1,0.1,1.0,8578.1,8012.9,1.0,1.0,8773.2,1088.9,1101.2,1057.6,1052.1,8571.9,1033.7,1076.9,1105.9,1055.2,969.7,983.8,965.6,956.9,7746.3,976.0,964.3,955.9,974.0,1151.2,1117.0,1123.7,1137.3,9069.6,1131.6,1151.4,1131.4,1126.1
2025-01-20 08:02:02,0.0,0.0,0.0,0.0,0.1,996.4,0.1,839.1,0.1,926.4,0.1,962.7,829.4,0.1,0.1,835.5,920.4,0.1,982.6,986.6,0.1,0.1,0.1,832.1,0.1,962.4,947.4,0.1,0.0,0.0,944.0,0.1,0.1,0.1,1014.7,839.4,943.1,0.1,0.1,985.8,838.8,0.1,0.1,955.1,835.3,0.1,987.8,841.4,960.3,0.1,0.1,968.8,0.1,0.1,1.0,7871.5,6690.9,1.0,1.0,7574.6,878.7,885.6,870.4,876.7,7027.3,879.7,864.0,867.3,905.0,812.1,815.9,836.0,835.6,6614.1,829.0,831.1,825.0,829.5,1050.1,1045.6,1066.6,1030.1,8402.7,1065.3,1044.2,1056.2,1044.5
2025-01-20 08:02:33,0.0,0.0,0.0,0.0,0.1,1015.7,0.1,912.5,0.1,984.5,0.1,1002.0,909.7,0.1,0.1,928.2,967.9,0.1,1004.4,1028.4,0.1,0.2,0.1,911.4,0.1,955.5,949.2,0.1,0.0,0.0,982.1,0.1,0.1,0.1,1012.5,922.1,977.9,0.1,0.1,1005.4,915.3,0.1,0.1,1012.8,915.1,0.1,1020.6,903.5,943.2,0.1,0.1,957.8,0.1,0.1,1.0,8100.1,7321.4,1.0,1.0,7716.2,934.0,958.8,953.9,961.5,7619.7,953.1,953.5,952.4,952.5,835.3,856.3,854.0,855.0,6740.6,814.8,856.0,843.4,825.8,1025.2,1010.3,1023.5,1041.5,8235.4,1019.8,1034.5,1056.9,1023.9
2025-01-20 08:03:03,0.0,0.0,0.0,0.0,0.1,8479.8,0.1,8027.0,0.1,8142.9,0.1,8326.2,7928.7,0.1,0.1,7901.8,8090.6,0.1,8418.2,8239.2,0.1,0.1,0.1,7805.3,0.1,7966.9,8023.9,0.1,0.0,0.0,7982.6,0.1,0.1,0.1,8514.9,7962.6,8015.0,0.1,0.1,8318.4,7936.5,0.1,0.1,8193.1,7856.6,0.1,8409.6,7918.8,8140.1,0.1,0.1,8121.6,0.2,0.1,1.0,66899.3,63333.6,1.0,1.0,64484.1,8124.8,8112.7,8300.3,8312.6,65743.8,8280.4,8122.3,8165.3,8325.3,7696.8,7648.4,7649.6,7683.9,61378.8,7600.6,7723.7,7735.9,7639.8,8172.8,8359.7,8423.7,8233.5,66409.2,8095.7,8401.5,8486.2,8236.1
2025-01-20 08:03:33,0.0,0.0,0.0,0.0,0.1,11275.4,0.1,10699.6,0.1,11118.1,0.1,11151.6,10837.2,0.1,0.1,10669.0,10941.7,0.1,11129.2,11036.1,0.1,0.1,0.1,10795.2,0.1,10952.8,11193.4,0.1,0.0,0.0,11009.9,0.1,0.1,0.1,11369.6,10856.5,11017.8,0.1,0.1,11105.7,10806.0,0.1,0.1,10914.0,10616.5,0.1,11175.0,10707.9,11113.8,0.1,0.1,11100.8,0.1,0.1,1.0,89194.5,85987.9,1.0,1.0,88456.4,11172.9,11058.8,11087.6,11232.9,89094.6,11097.5,11042.1,11172.5,11230.3,10439.0,10550.8,10567.2,10469.6,84021.3,10307.7,10445.0,10692.0,10550.3,11218.2,11114.5,11045.9,11132.6,88932.2,11035.8,11145.2,11188.4,11051.6
2025-01-20 08:04:03,0.0,0.0,0.0,0.0,0.1,11642.6,0.1,11080.9,0.1,11545.1,0.1,11245.4,11146.0,0.1,0.1,11077.1,11250.1,0.1,11720.3,11359.3,0.1,0.1,0.1,11135.5,0.1,11191.1,11494.3,0.1,0.0,0.0,11211.1,0.1,0.1,0.1,11715.2,11168.5,11316.2,0.1,0.1,11505.2,10940.5,0.1,0.1,11249.6,11020.6,0.1,11478.1,11253.8,11547.7,0.1,0.1,11446.2,0.2,0.1,1.0,91878.0,88822.9,1.0,1.0,90993.3,11576.2,11228.4,11231.0,11584.5,91208.7,11587.1,11302.0,11196.7,11502.7,10934.6,10793.3,10807.2,10938.8,86956.8,10929.9,10762.0,10780.2,11010.7,11605.3,11543.7,11244.7,11345.2,91429.7,11382.2,11452.5,11481.4,11374.7
2025-01-20 08:04:33,0.0,0.0,0.0,0.0,0.1,11145.8,0.1,10769.8,0.1,10932.0,0.2,11260.9,10871.2,0.1,0.1,10678.6,10936.8,0.1,11229.7,11342.2,0.1,0.1,0.1,10750.8,0.1,11044.0,11045.0,0.1,0.0,0.0,10862.7,0.1,0.1,0.1,11225.2,10807.6,11049.0,0.1,0.1,11331.0,10735.9,0.2,0.1,11266.5,10732.9,0.1,11163.4,10755.0,11160.4,0.2,0.1,10916.0,0.1,0.1,1.0,89964.4,86101.8,1.1,1.0,87946.0,11193.4,11099.1,11083.5,11125.6,89027.8,11138.7,10964.8,11124.3,11300.3,10350.4,10570.5,10681.3,10462.4,84157.9,10385.5,10562.2,10651.4,10485.7,11302.1,11130.0,11057.9,11225.2,89391.2,11182.2,11256.3,11163.4,11074.1
