Disk Write KB/s his02,sda,sda1,sda2,sda3,sdf,sdg,sde,sdh,sdj,sdi,sdk,sdm,sdn,sdl,sdp,sdd,sdo,sdb,sdc,sdr,sdq,sdu,sdx,sds,sdv,sdt,sdw,sdy,dm-0,dm-1,sdz,sdaa,sdab,sdac,sdad,sdae,sdaf,sdag,sdah,sdai,sdaj,sdak,sdal,sdam,sdan,sdao,sdap,sdaq,sdar,sdas,sdat,sdau,sdav,sdaw,dm-2,dm-3,dm-4,dm-5,dm-6,dm-7,sdax,sday,sdaz,sdba,dm-8,sdbb,sdbc,sdbd,sdbe,sdbf,sdbg,sdbh,sdbi,dm-9,sdbj,sdbk,sdbl,sdbm,sdbn,sdbo,sdbp,sdbq,dm-10,sdbr,sdbs,sdbt,sdbu
2025-01-20 08:00:02,0.0,0.0,0.0,0.0,0.0,4.8,0.0,0.0,0.0,4.8,0.0,0.0,0.0,0.0,0.6,4.8,9.5,0.0,0.0,0.0,0.0,0.0,0.0,4.8,0.0,4.8,33.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8,0.0,0.0,0.0,9.5,0.0,0.0,0.0,0.0,4.8,0.0,0.0,4.8,0.0,0.0,0.0,4.8,0.6,0.0,0.0,14.3,23.8,0.6,0.0,57.2,4.8,9.5,0.0,0.0,28.6,4.8,9.5,0.0,0.0,4.8,4.8,0.0,0.0,28.6,0.0,4.8,0.0,14.3,8.3,12.5,8.9,21.5,88.8,7.2,8.9,14.3,7.2
2025-01-20 08:00:32,203.2,0.0,0.0,203.2,0.1,1.3,0.1,2.1,0.1,29.5,0.1,0.4,1.1,0.1,0.0,3.2,35.8,0.1,1.1,0.8,0.1,0.0,0.1,0.3,0.1,28.3,23.1,0.1,203.2,0.0,56.5,0.1,0.0,0.1,1.1,5.1,33.5,0.1,0.1,1.1,1.3,0.1,0.1,4.3,0.8,0.1,1.2,1.3,22.1,0.1,0.1,40.6,0.1,0.1,0.5,11.2,15.2,0.5,0.5,269.4,1.6,1.9,1.1,0.8,10.7,2.1,1.1,0.8,1.3,6.9,2.9,8.3,5.1,79.4,10.7,11.7,14.7,19.2,26.6,24.7,25.1,17.6,187.2,20.6,18.7,26.7,27.2
2025-01-20 08:01:02,249.2,0.0,0.0,249.2,0.1,7.6,0.0,1.1,0.1,6.7,0.1,6.6,2.1,0.1,0.1,1.9,14.2,0.1,7.3,6.4,0.1,0.1,0.1,1.1,0.1,8.4,9.0,0.0,249.2,0.0,9.3,0.1,0.1,0.1,8.7,1.9,10.4,0.0,0.1,4.9,1.6,0.1,0.1,8.0,1.9,0.1,4.2,2.4,6.4,0.1,0.1,7.9,0.1,0.1,0.5,53.7,13.9,0.5,0.5,72.2,7.6,7.6,6.5,11.1,66.8,7.8,6.7,9.7,9.7,6.9,6.1,6.7,12.0,54.9,4.3,4.3,5.1,9.6,0.5,5.1,1.1,2.1,14.7,1.1,1.9,1.1,1.9
2025-01-20 08:01:32,173.2,0.0,0.0,173.2,0.0,22.4,0.1,5.6,0.1,15.7,0.1,22.9,11.2,0.1,0.1,17.6,8.0,0.1,31.5,25.3,0.1,0.1,0.0,18.7,0.1,5.6,7.5,0.1,173.2,0.0,7.7,0.1,0.1,0.1,37.2,8.5,10.9,0.1,0.0,11.9,0.8,0.1,0.0,33.8,14.7,0.1,49.6,18.4,5.9,0.1,0.1,22.1,0.0,0.1,0.5,234.5,95.4,0.5,0.5,83.4,20.5,32.2,16.7,51.4,289.6,39.7,50.0,37.5,41.7,12.3,24.5,25.3,18.1,158.8,18.1,18.9,21.9,19.7,12.8,4.3,10.1,18.7,92.8,5.9,19.2,12.0,9.9
2025-01-20 08:02:02,186.2,0.0,0.0,186.2,0.1,12.1,0.1,1.1,0.1,11.8,0.1,14.8,5.3,0.0,0.1,1.6,16.5,0.1,11.0,6.5,0.1,0.1,0.1,10.4,0.1,9.4,14.0,0.1,186.2,0.0,13.1,0.1,0.1,0.1,7.2,1.1,11.2,0.1,0.1,10.7,1.1,0.1,0.1,18.9,5.6,0.0,9.2,5.6,9.8,0.1,0.1,7.0,0.1,0.1,0.5,90.3,31.7,0.5,0.5,92.7,13.1,12.7,10.7,18.4,113.2,11.8,11.5,12.0,22.9,4.7,11.6,10.1,3.5,77.0,11.0,11.8,19.0,5.3,9.6,3.5,8.3,6.7,48.0,1.1,6.1,5.9,6.9
2025-01-20 08:02:33,196.0,0.0,0.0,196.0,0.1,0.3,0.1,1.3,0.1,17.4,0.1,0.5,1.9,0.1,0.1,1.6,17.2,0.1,6.1,1.1,0.1,0.0,0.1,1.9,0.0,15.5,21.1,0.1,196.0,0.0,19.5,0.0,0.0,0.1,1.3,5.3,16.7,0.1,0.1,0.5,2.4,0.1,0.1,2.4,1.9,0.1,1.1,4.5,16.7,0.1,0.1,13.4,0.1,0.0,0.5,13.3,20.8,0.5,0.5,137.3,1.9,1.9,5.9,1.3,23.2,1.1,3.2,2.4,5.6,18.1,23.6,19.4,21.2,154.9,19.8,12.8,23.1,17.0,5.1,18.4,5.3,1.1,48.0,8.8,2.9,1.3,5.1
2025-01-20 08:03:03,148.2,0.0,0.0,148.2,0.1,9.6,0.1,18.2,0.1,10.9,0.0,6.1,30.1,0.1,0.1,14.5,18.5,0.1,9.9,10.7,0.0,0.1,0.1,16.0,0.1,23.7,21.8,0.1,148.2,0.0,9.7,0.1,0.1,0.0,14.1,24.5,16.8,0.1,0.1,18.7,21.0,0.1,0.1,5.1,23.9,0.1,9.9,15.2,12.8,0.1,0.1,10.8,0.0,0.1,0.5,84.0,164.5,0.5,0.5,125.0,25.6,21.6,22.1,21.3,171.6,24.5,23.2,18.9,14.4,27.6,13.7,16.0,21.9,148.7,22.3,16.1,7.6,23.6,34.5,23.2,25.9,23.7,197.3,21.2,22.5,15.9,30.5
2025-01-20 08:03:33,92.9,0.0,0.0,92.9,0.1,1.1,0.1,10.8,0.1,5.6,0.1,5.3,10.2,0.1,0.1,14.8,2.4,0.0,1.3,0.5,0.1,0.1,0.1,10.8,0.1,3.5,2.7,0.1,92.9,0.0,4.5,0.1,0.1,0.1,1.9,15.9,6.7,0.1,0.1,5.3,9.7,0.1,0.1,5.9,10.2,0.1,1.1,10.0,8.8,0.1,0.1,3.7,0.1,0.1,0.5,22.4,91.1,0.5,0.5,37.8,6.1,6.1,3.2,0.8,31.4,6.4,1.9,1.6,5.3,8.5,17.6,14.7,21.6,111.4,13.9,13.9,9.6,11.7,9.0,6.4,7.3,12.8,76.8,8.9,14.8,9.2,8.4
2025-01-20 08:04:03,148.9,0.0,0.0,148.9,0.1,13.1,0.1,20.8,0.0,24.0,0.1,24.3,32.2,0.1,0.1,27.5,18.1,0.1,29.9,25.9,0.1,0.0,0.1,30.4,0.1,17.9,21.9,0.1,148.9,0.0,14.4,0.1,0.1,0.1,16.3,29.7,25.3,0.1,0.1,17.1,24.9,0.1,0.1,24.0,23.5,0.1,14.7,19.4,24.5,0.1,0.0,28.0,0.1,0.1,0.5,165.0,210.1,0.5,0.5,174.0,50.9,37.8,41.0,31.7,302.5,32.8,34.6,29.1,44.5,34.8,45.8,40.5,28.3,288.3,34.8,35.3,41.0,27.8,36.0,29.5,27.6,32.3,265.1,42.1,34.5,28.6,34.4
2025-01-20 08:04:33,189.0,0.0,0.0,189.0,0.1,14.4,0.1,37.4,0.1,21.3,0.0,6.4,23.7,0.1,0.0,34.6,22.9,0.1,17.6,10.1,0.1,0.1,0.1,28.7,0.1,25.1,10.7,0.1,189.0,0.0,23.2,0.1,0.1,0.1,12.5,25.8,16.5,0.1,0.1,12.5,31.0,0.1,0.1,12.0,31.4,0.1,11.7,33.4,23.7,0.0,0.1,20.3,0.1,0.1,0.5,97.3,244.1,0.5,0.5,163.6,26.7,25.3,31.4,27.5,218.5,25.1,27.5,25.9,29.3,25.1,44.3,34.0,27.9,240.8,28.1,35.8,25.9,19.8,7.2,21.3,20.5,23.5,160.2,18.9,21.9,35.4,11.5
