Disk transfers per second his02,sda,sda1,sda2,sda3,sdf,sdg,sde,sdh,sdj,sdi,sdk,sdm,sdn,sdl,sdp,sdd,sdo,sdb,sdc,sdr,sdq,sdu,sdx,sds,sdv,sdt,sdw,sdy,dm-0,dm-1,sdz,sdaa,sdab,sdac,sdad,sdae,sdaf,sdag,sdah,sdai,sdaj,sdak,sdal,sdam,sdan,sdao,sdap,sdaq,sdar,sdas,sdat,sdau,sdav,sdaw,dm-2,dm-3,dm-4,dm-5,dm-6,dm-7,sdax,sday,sdaz,sdba,dm-8,sdbb,sdbc,sdbd,sdbe,sdbf,sdbg,sdbh,sdbi,dm-9,sdbj,sdbk,sdbl,sdbm,sdbn,sdbo,sdbp,sdbq,dm-10,sdbr,sdbs,sdbt,sdbu
2025-01-20 08:00:02,0.0,0.0,0.0,0.0,0.0,45.9,0.6,45.3,0.6,53.0,0.0,45.9,45.9,0.0,0.6,46.5,53.0,0.0,45.9,46.5,0.0,0.0,0.0,45.9,0.0,53.0,53.0,0.6,0.0,0.0,53.6,0.0,0.6,0.0,46.5,45.3,53.0,0.6,0.0,46.5,45.3,0.0,0.0,46.5,45.3,0.0,46.5,45.3,53.0,0.0,0.6,53.0,0.6,0.6,1.8,371.3,361.7,1.8,1.8,424.9,47.7,48.3,48.3,48.3,385.6,47.7,48.3,48.3,48.3,51.8,51.8,51.2,51.2,413.0,51.8,51.8,51.2,51.8,62.0,62.0,62.0,62.0,495.8,62.0,62.0,62.0,62.0
2025-01-20 08:00:32,14.7,0.0,0.0,14.7,0.4,44.4,0.4,44.0,0.4,52.5,0.4,44.4,44.0,0.4,0.4,44.0,52.5,0.4,44.4,44.4,0.4,0.4,0.4,44.0,0.4,52.5,52.5,0.4,25.0,0.0,52.5,0.4,0.4,0.4,44.4,44.0,52.5,0.4,0.4,44.4,44.0,0.4,0.4,44.4,44.0,0.4,44.4,44.0,52.5,0.4,0.4,52.5,0.4,0.4,3.0,355.2,352.3,3.1,3.0,420.1,45.1,45.1,45.1,45.2,361.1,45.2,45.1,45.1,45.1,47.9,47.9,47.9,47.9,383.3,47.9,47.9,47.9,47.9,60.2,60.2,60.3,60.2,481.9,60.2,60.3,60.2,60.2
2025-01-20 08:01:02,11.0,0.0,0.0,11.0,0.4,18.9,0.4,16.1,0.4,22.2,0.4,18.9,16.1,0.4,0.4,16.1,22.1,0.4,18.9,18.9,0.4,0.4,0.4,16.1,0.4,22.1,22.2,0.4,19.0,0.0,22.2,0.4,0.4,0.4,18.9,16.2,22.1,0.4,0.4,18.9,16.1,0.4,0.4,18.9,16.1,0.4,18.9,16.2,22.2,0.4,0.4,22.2,0.4,0.4,3.0,150.9,129.1,3.1,3.0,177.1,20.7,20.6,20.6,20.6,165.0,20.6,20.7,20.6,20.6,19.4,19.4,19.4,19.4,155.1,19.4,19.4,19.4,19.4,25.4,25.4,25.3,25.4,202.8,25.4,25.3,25.4,25.4
2025-01-20 08:01:32,14.4,0.0,0.0,14.4,0.4,22.1,0.4,17.5,0.4,20.5,0.4,22.1,17.5,0.4,0.4,17.6,20.5,0.4,22.1,22.1,0.4,0.4,0.4,17.5,0.4,20.5,20.5,0.4,19.6,0.0,20.5,0.4,0.4,0.4,22.1,17.5,20.5,0.4,0.4,22.1,17.5,0.4,0.4,22.1,17.5,0.4,22.1,17.5,20.5,0.4,0.4,20.5,0.4,0.4,3.0,176.9,140.2,3.1,3.0,164.1,22.0,22.0,22.0,22.0,175.9,22.0,22.0,22.0,22.0,19.6,19.6,19.6,19.6,156.5,19.6,19.6,19.6,19.6,24.5,24.4,24.5,24.5,195.6,24.5,24.5,24.5,24.5
2025-01-20 08:02:02,14.4,0.0,0.0,14.4,0.4,22.6,0.4,16.0,0.4,22.3,0.4,22.6,16.0,0.4,0.4,15.9,22.3,0.4,22.6,22.6,0.4,0.4,0.4,15.9,0.4,22.3,22.3,0.4,23.4,0.0,22.3,0.4,0.4,0.4,22.6,15.9,22.3,0.4,0.4,22.6,16.0,0.4,0.4,22.6,15.9,0.4,22.6,15.9,22.3,0.4,0.4,22.3,0.4,0.4,3.0,180.7,127.5,3.1,3.0,178.3,20.3,20.3,20.3,20.3,162.1,20.3,20.3,20.3,20.3,21.2,21.2,21.2,21.2,169.6,21.2,21.2,21.2,21.2,25.0,25.1,25.1,25.0,200.3,25.0,25.1,25.1,25.0
2025-01-20 08:02:33,14.9,0.0,0.0,14.9,0.4,18.1,0.4,16.5,0.4,25.5,0.4,18.2,16.5,0.4,0.4,16.5,25.5,0.4,18.1,18.2,0.4,0.4,0.4,16.5,0.4,25.5,25.5,0.4,21.9,0.0,25.5,0.4,0.4,0.4,18.1,16.5,25.5,0.4,0.4,18.1,16.5,0.4,0.4,18.1,16.5,0.4,18.2,16.5,25.5,0.4,0.4,25.5,0.4,0.4,3.0,145.0,132.0,3.1,3.0,204.0,17.4,17.5,17.5,17.5,139.6,17.4,17.4,17.5,17.5,23.7,23.7,23.7,23.7,189.7,23.7,23.7,23.7,23.7,22.7,22.7,22.7,22.7,181.3,22.7,22.7,22.7,22.7
2025-01-20 08:03:03,7.5,0.0,0.0,7.5,0.4,46.5,0.4,48.1,0.4,48.0,0.4,46.5,48.1,0.4,0.4,48.1,48.1,0.4,46.5,46.4,0.4,0.4,0.4,48.1,0.4,48.1,48.0,0.4,13.9,0.0,48.0,0.4,0.4,0.4,46.5,48.1,48.1,0.4,0.4,46.5,48.1,0.4,0.4,46.5,48.1,0.4,46.4,48.1,48.1,0.4,0.4,48.0,0.4,0.4,3.0,371.7,385.1,3.1,3.0,384.5,45.9,45.9,45.9,45.9,367.5,45.9,45.9,45.9,45.9,45.8,45.8,45.8,45.8,366.6,45.8,45.8,45.8,45.8,56.0,56.0,56.0,56.0,448.2,56.0,56.0,56.0,56.0
2025-01-20 08:03:33,9.0,0.0,0.0,9.0,0.4,56.7,0.4,60.4,0.4,58.8,0.4,56.7,60.3,0.4,0.4,60.3,58.8,0.4,56.7,56.7,0.4,0.4,0.4,60.3,0.4,58.8,58.9,0.4,14.2,0.0,58.8,0.4,0.4,0.4,56.7,60.3,58.8,0.4,0.4,56.7,60.4,0.4,0.4,56.7,60.3,0.4,56.7,60.3,58.8,0.4,0.4,58.9,0.4,0.4,3.0,453.9,482.6,3.1,3.0,470.7,57.5,57.5,57.5,57.4,459.7,57.5,57.5,57.5,57.5,56.7,56.7,56.7,56.7,453.5,56.7,56.7,56.7,56.7,67.3,67.3,67.3,67.3,538.2,67.3,67.3,67.3,67.3
2025-01-20 08:04:03,8.3,0.0,0.0,8.3,0.4,76.1,0.4,80.4,0.4,79.0,0.4,76.1,80.4,0.4,0.4,80.4,79.0,0.4,76.1,76.1,0.4,0.4,0.4,80.4,0.4,79.0,79.0,0.4,14.8,0.0,79.0,0.4,0.4,0.4,76.1,80.4,79.0,0.4,0.4,76.1,80.4,0.4,0.4,76.1,80.4,0.4,76.1,80.4,79.0,0.4,0.4,79.0,0.4,0.4,3.0,608.5,643.4,3.1,3.0,632.1,75.7,75.7,75.7,75.8,605.8,75.7,75.7,75.7,75.7,82.3,82.3,82.3,82.3,658.2,82.3,82.3,82.3,82.3,84.4,84.4,84.4,84.4,675.0,84.4,84.4,84.4,84.4
2025-01-20 08:04:33,13.4,0.0,0.0,13.4,0.4,64.6,0.4,65.0,0.4,60.4,0.4,64.5,65.0,0.4,0.4,65.0,60.4,0.4,64.6,64.6,0.4,0.4,0.4,65.0,0.4,60.4,60.4,0.4,19.6,0.0,60.4,0.4,0.4,0.4,64.6,65.0,60.4,0.4,0.4,64.5,64.9,0.4,0.4,64.5,65.0,0.4,64.6,65.0,60.4,0.4,0.4,60.4,0.4,0.4,3.0,516.4,519.7,3.1,3.0,483.3,62.8,62.8,62.8,62.7,502.1,62.8,62.8,62.8,62.8,67.7,67.7,67.7,67.7,541.7,67.7,67.7,67.7,67.7,66.2,66.1,66.1,66.1,529.1,66.1,66.1,66.1,66.2
