Network Packets his02,public-read/s,bond0-read/s,em2-read/s,em4-read/s,lo-read/s,em1-read/s,em3-read/s,private-read/s,public-write/s,bond0-write/s,em2-write/s,em4-write/s,lo-write/s,em1-write/s,em3-write/s,private-write/s
2025-01-20 08:00:02,6315.0,0.0,6.0,17.3,34.0,6309.1,0.0,17.3,6464.6,0.0,0.0,16.7,34.0,6464.6,0.0,16.7
2025-01-20 08:00:32,5701.4,0.0,11.1,10.9,55.0,5690.3,0.8,11.7,11076.3,0.0,0.0,10.0,55.0,11076.3,0.0,10.0
2025-01-20 08:01:02,3095.5,0.0,10.8,10.3,21.9,3084.7,0.7,11.0,2882.1,0.0,0.0,9.0,21.9,2882.1,0.0,9.0
2025-01-20 08:01:32,4193.8,0.0,11.2,11.3,40.8,4182.5,0.8,12.1,2061.8,0.0,0.0,10.4,40.8,2061.8,0.0,10.4
2025-01-20 08:02:02,5940.4,0.0,11.4,10.5,43.6,5929.0,0.7,11.2,5062.6,0.0,0.0,9.9,43.6,5062.6,0.0,9.9
2025-01-20 08:02:33,4670.5,0.0,10.0,14.3,23.9,4660.5,0.8,15.1,2126.3,0.0,0.0,12.5,23.9,2126.3,0.0,12.5
2025-01-20 08:03:03,7450.7,0.0,11.3,11.3,25.3,7439.4,0.7,12.0,5411.2,0.0,0.0,10.4,25.3,5411.2,0.0,10.4
2025-01-20 08:03:33,4601.3,0.0,11.9,10.3,31.5,4589.5,0.8,11.0,5138.7,0.0,0.0,9.0,31.5,5138.7,0.0,9.0
2025-01-20 08:04:03,4526.8,0.0,10.8,11.2,20.9,4516.0,0.7,11.9,4824.3,0.0,0.0,10.5,20.9,4824.3,0.0,10.5
2025-01-20 08:04:33,5707.8,0.0,9.2,10.8,21.6,5698.6,0.8,11.5,3249.4,0.0,0.0,10.0,21.6,3249.4,0.0,10.0
2025-01-20 08:05:03,6009.1,0.0,10.5,10.5,20.8,5998.6,0.7,11.3,6004.4,0.0,0.0,9.1,20.8,6004.4,0.0,9.1
2025-01-20 08:05:33,8084.6,0.0,11.1,11.4,26.4,8073.5,0.8,12.2,11842.5,0.0,0.0,10.4,26.4,11842.5,0.0,10.4
2025-01-20 08:06:03,7212.1,0.0,10.1,10.3,35.2,7202.0,0.7,11.1,6847.1,0.0,0.0,9.0,35.2,6847.1,0.0,9.0
2025-01-20 08:06:33,1409.5,0.0,12.1,10.9,23.7,1397.4,0.8,11.7,1790.2,0.0,0.0,9.9,23.7,1790.2,0.0,9.9
2025-01-20 08:07:03,2550.4,0.0,12.4,10.5,42.1,2538.1,0.7,11.2,3887.0,0.0,0.0,10.1,42.1,3887.0,0.0,10.1
2025-01-20 08:07:33,2752.1,0.0,11.4,10.8,25.9,2740.7,0.8,11.6,2954.8,0.0,0.0,9.0,25.9,2954.8,0.0,9.0
2025-01-20 08:08:03,2562.0,0.0,10.5,11.4,26.8,2551.6,0.7,12.2,4328.2,0.0,0.0,10.5,26.8,4328.2,0.0,10.5
2025-01-20 08:08:33,1922.9,0.0,10.3,10.4,59.3,1912.6,0.8,11.2,1479.7,0.0,0.0,8.9,59.3,1479.7,0.0,8.9
2025-01-20 08:09:03,1245.3,0.0,10.1,10.9,25.8,1235.3,0.7,11.7,2285.7,0.0,0.0,10.1,25.8,2285.7,0.0,10.1
2025-01-20 08:09:33,1323.4,0.0,11.0,10.9,32.7,1312.4,0.8,11.7,1478.2,0.0,0.0,10.5,32.7,1478.2,0.0,10.5
2025-01-20 08:10:03,1476.3,0.0,8.7,10.4,34.6,1467.6,0.7,11.2,2936.8,0.0,0.0,8.9,34.6,2936.8,0.0,8.9
2025-01-20 08:10:33,1365.5,0.0,9.8,10.9,53.9,1355.7,0.8,11.7,1800.9,0.0,0.0,10.1,53.9,1800.9,0.0,10.1
2025-01-20 08:11:03,1192.9,0.0,9.4,10.7,33.8,1183.5,0.7,11.5,1597.6,0.0,0.0,9.5,33.8,1597.6,0.0,9.5
2025-01-20 08:11:33,1507.2,0.0,11.3,30.5,31.3,1495.9,0.8,31.2,2738.2,0.0,0.0,23.8,31.3,2738.2,0.0,23.8
2025-01-20 08:12:03,1090.7,0.0,10.9,11.0,51.4,1079.8,0.7,11.7,1686.7,0.0,0.0,10.5,51.4,1686.7,0.0,10.5
2025-01-20 08:12:33,1300.9,0.0,10.8,10.6,34.3,1290.1,0.8,11.4,1338.1,0.0,0.0,9.1,34.3,1338.1,0.0,9.1
2025-01-20 08:13:03,5116.2,0.0,10.3,10.7,32.8,5105.9,0.7,11.4,4950.9,0.0,0.0,9.9,32.8,4950.9,0.0,9.9
2025-01-20 08:13:33,2082.1,0.0,11.2,10.9,45.6,2070.9,0.8,11.7,3637.1,0.0,0.0,9.5,45.6,3637.1,0.0,9.5
2025-01-20 08:14:03,2556.4,0.0,10.3,10.6,28.8,2546.1,0.7,11.4,6077.1,0.0,0.0,9.9,28.8,6077.1,0.0,9.9
2025-01-20 08:14:33,1474.9,0.0,9.3,10.6,26.3,1465.6,0.8,11.4,1478.0,0.0,0.0,10.0,26.3,1478.0,0.0,10.0
2025-01-20 08:15:03,8782.1,0.0,8.8,11.3,40.4,8773.3,0.7,12.1,4775.8,0.0,0.0,9.5,40.4,4775.8,0.0,9.5
2025-01-20 08:15:33,3263.6,0.0,10.8,10.9,37.0,3252.8,0.8,11.7,9404.9,0.0,0.0,10.0,37.0,9404.9,0.0,10.0
2025-01-20 08:16:03,2970.0,0.0,11.1,10.1,29.2,2958.9,0.7,10.8,8548.9,0.0,0.0,9.0,29.2,8548.9,0.0,9.0
2025-01-20 08:16:33,2222.2,0.0,10.8,11.2,61.9,2211.4,0.8,12.0,4482.1,0.0,0.0,10.3,61.9,4482.1,0.0,10.3
