Processes his02,Runnable,Blocked,pswitch,syscall,read,write,fork,exec,sem,msg
2025-01-20 08:00:02,4,2,0.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2025-01-20 08:00:32,4,0,26104.2,-1.0,-1.0,-1.0,17.8,-1.0,-1.0,-1.0
2025-01-20 08:01:02,5,1,19671.9,-1.0,-1.0,-1.0,16.8,-1.0,-1.0,-1.0
2025-01-20 08:01:32,3,1,21543.4,-1.0,-1.0,-1.0,12.6,-1.0,-1.0,-1.0
2025-01-20 08:02:02,4,0,22786.3,-1.0,-1.0,-1.0,32.4,-1.0,-1.0,-1.0
2025-01-20 08:02:33,5,0,20940.4,-1.0,-1.0,-1.0,13.1,-1.0,-1.0,-1.0
2025-01-20 08:03:03,6,2,25231.9,-1.0,-1.0,-1.0,11.2,-1.0,-1.0,-1.0
2025-01-20 08:03:33,7,1,26219.3,-1.0,-1.0,-1.0,12.8,-1.0,-1.0,-1.0
2025-01-20 08:04:03,6,2,32275.7,-1.0,-1.0,-1.0,16.4,-1.0,-1.0,-1.0
2025-01-20 08:04:33,4,1,29923.4,-1.0,-1.0,-1.0,13.1,-1.0,-1.0,-1.0
2025-01-20 08:05:03,4,2,30091.3,-1.0,-1.0,-1.0,13.2,-1.0,-1.0,-1.0
2025-01-20 08:05:33,6,1,32653.7,-1.0,-1.0,-1.0,14.7,-1.0,-1.0,-1.0
2025-01-20 08:06:03,2,1,28333.5,-1.0,-1.0,-1.0,20.0,-1.0,-1.0,-1.0
2025-01-20 08:06:33,6,1,25156.3,-1.0,-1.0,-1.0,13.2,-1.0,-1.0,-1.0
2025-01-20 08:07:03,4,2,26816.0,-1.0,-1.0,-1.0,31.8,-1.0,-1.0,-1.0
2025-01-20 08:07:33,3,2,27401.4,-1.0,-1.0,-1.0,11.8,-1.0,-1.0,-1.0
2025-01-20 08:08:03,1,2,25892.1,-1.0,-1.0,-1.0,13.3,-1.0,-1.0,-1.0
2025-01-20 08:08:33,5,2,26222.5,-1.0,-1.0,-1.0,13.9,-1.0,-1.0,-1.0
2025-01-20 08:09:03,3,1,23307.5,-1.0,-1.0,-1.0,11.2,-1.0,-1.0,-1.0
2025-01-20 08:09:33,6,1,23933.3,-1.0,-1.0,-1.0,13.9,-1.0,-1.0,-1.0
2025-01-20 08:10:03,3,1,22538.1,-1.0,-1.0,-1.0,17.9,-1.0,-1.0,-1.0
2025-01-20 08:10:33,1,2,22529.3,-1.0,-1.0,-1.0,15.0,-1.0,-1.0,-1.0
2025-01-20 08:11:03,4,0,24396.8,-1.0,-1.0,-1.0,16.4,-1.0,-1.0,-1.0
2025-01-20 08:11:33,4,1,24676.1,-1.0,-1.0,-1.0,12.7,-1.0,-1.0,-1.0
2025-01-20 08:12:03,2,2,24193.6,-1.0,-1.0,-1.0,32.0,-1.0,-1.0,-1.0
2025-01-20 08:12:33,3,1,23841.6,-1.0,-1.0,-1.0,16.1,-1.0,-1.0,-1.0
2025-01-20 08:13:03,3,2,25151.5,-1.0,-1.0,-1.0,14.2,-1.0,-1.0,-1.0
2025-01-20 08:13:33,2,1,25141.6,-1.0,-1.0,-1.0,13.1,-1.0,-1.0,-1.0
2025-01-20 08:14:03,2,1,24891.9,-1.0,-1.0,-1.0,16.2,-1.0,-1.0,-1.0
2025-01-20 08:14:33,1,2,24243.6,-1.0,-1.0,-1.0,16.0,-1.0,-1.0,-1.0
2025-01-20 08:15:03,6,3,27557.2,-1.0,-1.0,-1.0,14.4,-1.0,-1.0,-1.0
2025-01-20 08:15:33,5,2,26977.6,-1.0,-1.0,-1.0,14.2,-1.0,-1.0,-1.0
2025-01-20 08:16:03,3,2,24546.7,-1.0,-1.0,-1.0,21.0,-1.0,-1.0,-1.0
2025-01-20 08:16:33,3,1,26484.2,-1.0,-1.0,-1.0,15.5,-1.0,-1.0,-1.0
2025-01-20 08:17:03,6,1,24208.3,-1.0,-1.0,-1.0,29.3,-1.0,-1.0,-1.0
2025-01-20 08:17:33,5,1,24909.1,-1.0,-1.0,-1.0,14.3,-1.0,-1.0,-1.0
2025-01-20 08:18:03,4,0,23600.0,-1.0,-1.0,-1.0,14.3,-1.0,-1.0,-1.0
