Paging and Virtual Memory,nr_dirty,nr_writeback,nr_unstable,nr_page_table_pages,nr_mapped,nr_slab,pgpgin,pgpgout,pswpin,pswpout,pgfree,pgactivate,pgdeactivate,pgfault,pgmajfault,pginodesteal,slabs_scanned,kswapd_steal,kswapd_inodesteal,pageoutrun,allocstall,pgrotated,pgalloc_high,pgalloc_normal,pgalloc_dma,pgrefill_high,pgrefill_normal,pgrefill_dma,pgsteal_high,pgsteal_normal,pgsteal_dma,pgscan_kswapd_high,pgscan_kswapd_normal,pgscan_kswapd_dma,pgscan_direct_high,pgscan_direct_normal,pgscan_direct_dma
2025-01-20 08:00:02,772,0,0,67168,304725,-1,804059,406,0,0,24101,16,0,35331,0,0,0,0,0,0,0,0,0,36717,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-01-20 08:00:32,886,0,0,67065,304489,-1,11668319,23349,0,0,581869,106,0,421692,0,0,0,0,0,0,0,0,0,554980,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-01-20 08:01:02,678,0,0,66988,304526,-1,1322981,15814,0,0,270909,525,0,220269,0,0,0,0,0,0,0,0,0,275847,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-01-20 08:01:32,618,0,0,67323,304609,-1,1523734,33897,0,0,316744,72,0,246498,0,0,0,0,0,0,0,0,0,324734,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-01-20 08:02:02,442,0,0,67397,304746,-1,1326152,19226,0,0,458724,76,0,365813,6,0,0,0,0,0,0,0,0,459824,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-01-20 08:02:33,550,0,0,67260,304792,-1,1372894,17860,0,0,311532,122,0,237493,0,0,0,0,0,0,0,0,0,314115,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-01-20 08:03:03,223,0,0,68277,304320,-1,11648554,30968,0,0,413291,80,0,321041,0,0,0,0,0,0,0,0,0,437724,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-01-20 08:03:33,688,0,0,68088,304240,-1,15780246,14234,0,0,373517,68,0,334834,0,0,0,0,0,0,0,0,0,409940,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-01-20 08:04:03,818,0,0,69080,304489,-1,16247222,46408,0,0,383452,102,0,313927,0,0,0,0,0,0,0,0,0,387190,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-01-20 08:04:33,606,0,0,69585,304706,-1,15806446,39757,0,0,307218,70,0,253643,0,0,0,0,0,0,0,0,0,329716,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-01-20 08:05:03,486,0,0,70050,304616,-1,18044685,13814,0,0,332180,88,0,231897,0,0,0,0,0,0,0,0,0,314988,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-01-20 08:05:33,590,0,0,69857,304616,-1,20092465,24610,0,0,533319,91,0,435221,0,0,0,0,0,0,0,0,0,595088,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-01-20 08:06:03,446,0,0,70161,304816,-1,16210354,47761,0,0,514601,565,0,330156,0,0,0,0,0,0,0,0,0,455844,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-01-20 08:06:33,298,0,0,70043,304616,-1,16156147,20479,0,0,260877,70,0,255023,0,0,0,0,0,0,0,0,0,290289,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-01-20 08:07:03,678,0,0,71066,304617,-1,16294455,27595,0,0,476274,101,0,438550,6,0,0,0,0,0,0,0,0,456416,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-01-20 08:07:33,737,0,0,70447,304615,-1,15047287,25311,0,0,279382,115,0,247115,0,0,0,0,0,0,0,0,0,275846,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-01-20 08:08:03,560,0,0,70364,304816,-1,15148502,18382,0,0,418871,137,0,342896,0,0,0,0,0,0,0,0,0,382078,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-01-20 08:08:33,740,0,0,70920,304617,-1,21478262,27097,0,0,311728,120,0,281578,0,0,0,0,0,0,0,0,0,319391,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-01-20 08:09:03,416,0,0,71016,304631,-1,16102740,21051,0,0,274378,94,0,239938,0,0,0,0,0,0,0,0,0,275489,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-01-20 08:09:33,350,0,0,71082,304557,-1,15474373,29218,0,0,356849,96,0,351648,0,0,0,0,0,0,0,0,0,377801,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-01-20 08:10:03,416,0,0,71777,304767,-1,13267343,19311,0,0,411377,123,0,371481,0,0,0,0,0,0,0,0,0,393078,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-01-20 08:10:33,715,0,0,70879,304567,-1,12991208,20560,0,0,259433,105,0,220095,0,0,0,0,0,0,0,0,0,252110,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-01-20 08:11:03,584,0,0,71337,304615,-1,14222053,20998,0,0,271003,570,0,253818,0,0,0,0,0,0,0,0,0,274536,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-01-20 08:11:33,749,0,0,71853,304616,-1,16045420,199684,0,0,270099,115,0,224485,0,0,0,0,0,0,0,0,0,276996,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-01-20 08:12:03,553,0,0,70569,304811,-1,16282918,21272,0,0,340049,104,0,304384,6,0,0,0,0,0,0,0,0,325879,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-01-20 08:12:33,426,0,0,69949,304617,-1,16128019,19080,0,0,362966,158,0,329045,0,0,0,0,0,0,0,0,0,358653,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-01-20 08:13:03,573,0,0,70600,305090,-1,15824960,45315,0,0,460471,107,0,374497,0,0,0,0,0,0,0,0,0,465067,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-01-20 08:13:33,247,0,0,70765,304617,-1,16084945,30133,0,0,341744,109,0,335125,0,0,0,0,0,0,0,0,0,372480,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-01-20 08:14:03,700,0,0,70555,304815,-1,16247093,16285,0,0,422054,100,0,356328,0,0,0,0,0,0,0,0,0,418654,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-01-20 08:14:33,716,0,0,70177,304864,-1,16102597,20426,0,0,241067,85,0,212027,0,0,0,0,0,0,0,0,0,232861,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-01-20 08:15:03,834,0,0,70157,304428,-1,17594883,62163,0,0,492966,104,0,361094,0,0,0,0,0,0,0,0,0,496702,0,0,0,0,0,0,0,0,0,0,0,0,0
